id,extracted_text_full
1948,"<tafsir_chunk>
<opinions_of_scholars>
        والدليل على أن روح القدس هو جبريل ، كما نص عليه <source/>ابن مسعود في تفسير هذه الآية ، وتابعه على ذلك [ <source/>ابن عباس و ] <source/>محمد بن كعب القرظي ، و <source/>إسماعيل بن أبي خالد ، و <source/>السدي ، و <source/>الربيع بن أنس ، و <source/>عطية العوفي ، و <source/>قتادة مع قوله تعالى : ( <quran_verse>نزل به الروح الأمين على قلبك لتكون من المنذرين [ بلسان عربي مبين ]</quran_verse> ) [ الشعراء : 193 - 195 ] 
        ما قال <source/>البخاري : وقال <isnad>ابن أبي الزناد ، عن أبيه ، عن عروة ، عن عائشة</isnad> : <hadith_support>أن رسول الله صلى الله عليه وسلم وضع لحسان بن ثابت منبرا في المسجد ، فكان ينافح عن رسول الله صلى الله عليه وسلم ، فقال : رسول الله صلى الله عليه وسلم : "" <hadith>اللهم أيد حسان بروح القدس كما نافح عن نبيك</hadith> "" .</hadith_support> وهذا من <source/>البخاري تعليق . 
        وقد رواه <source/>أبو داود في <source/>سننه ، عن <isnad>لوين</isnad> ، و <source/>الترمذي ، عن <isnad>علي بن حجر ، وإسماعيل بن موسى الفزاري ، ثلاثتهم عن عبد الرحمن بن أبي الزناد ، عن أبيه وهشام بن عروة ، كلاهما عن عروة ، عن عائشة</isnad> به . وقال <source/>الترمذي : <chain_evaluation>حسن صحيح</chain_evaluation> ، وهو حديث <source/>أبي الزناد . 
        وفي <source/>الصحيحين من حديث <isnad>سفيان بن عيينة ، عن الزهري ، عن سعيد بن المسيب ، عن أبي هريرة</isnad> : <hadith_support>أن عمر مر بحسان ، وهو ينشد الشعر في المسجد فلحظ إليه ، فقال : قد كنت أنشد فيه ، وفيه من هو خير منك . ثم التفت إلى أبي هريرة ، فقال : أنشدك الله أسمعت رسول الله صلى الله عليه وسلم يقول : "" <hadith>أجب عني ، اللهم أيده بروح القدس</hadith> "" ؟ . فقال : اللهم نعم .</hadith_support> 
        وفي بعض الروايات : أن رسول الله صلى الله عليه وسلم قال لحسان : "" <hadith>اهجهم أو : هاجهم وجبريل معك</hadith> "" . [ وفي شعر <source/>حسان قوله : وجبريل رسول الله ينادي وروح القدس ليس به خفاء ]
      </opinions_of_scholars>
</tafsir_chunk>"
2133,"<tafsir_chunk>
<chain_evaluation>وأقرب ما في هذا أنه من رواية عبد الله بن عمر ، عن كعب الأحبار ، لا عن النبي صلى الله عليه وسلم</chain_evaluation> ، كما قال <source/>عبد الرزاق في تفسيره ، عن <isnad>الثوري ، عن موسى بن عقبة ، عن سالم ، عن ابن عمر ، عن كعب</isnad> ، قال : 
      <opinions_of_scholars>
<israiliyyat>ذكرت الملائكة أعمال بني آدم ، وما يأتون من الذنوب ، فقيل لهم : اختاروا منكم اثنين ، فاختاروا هاروت وماروت . فقال لهما : إني أرسل إلى بني آدم رسلا وليس بيني وبينكم رسول ، انزلا لا تشركا بي شيئا ولا تزنيا ولا تشربا الخمر . قال كعب : فوالله ما أمسيا من يومهما الذي أهبطا فيه حتى استكملا جميع ما نهيا عنه .</israiliyyat>
</opinions_of_scholars>
      ورواه <source/>ابن جرير من طريقين ، عن <source/>عبد الرزاق ، به . 
      ورواه <source/>ابن أبي حاتم ، عن <isnad>أحمد بن عصام ، عن مؤمل ، عن سفيان الثوري</isnad> ، به . 
      ورواه <source/>ابن جرير أيضا : حدثني <isnad>المثنى ، حدثنا المعلى وهو ابن أسد حدثنا عبد العزيز بن المختار ، عن موسى بن عقبة ، حدثني سالم</isnad> أنه سمع عبد الله يحدث ، عن <source/>كعب الأحبار ، فذكره . 
      <chain_evaluation>فهذا أصح وأثبت إلى عبد الله بن عمر من الإسنادين المتقدمين ، وسالم أثبت في أبيه من مولاه نافع . فدار الحديث ورجع إلى نقل كعب الأحبار ، عن كتب بني إسرائيل ، والله أعلم .</chain_evaluation>
</tafsir_chunk>"
2407,"<tafsir_chunk>
<source/>وقال الإمام أحمد : 
      <isnad>حدثنا موسى بن داود ، حدثنا فليح بن سليمان ، عن هلال بن علي ، عن عطاء بن يسار</isnad> ، قال : 
      <hadith>لقيت عبد الله بن عمرو بن العاص ، فقلت : أخبرني عن صفة رسول الله صلى الله عليه وسلم في التوراة . فقال : أجل ، والله إنه لموصوف في التوراة بصفته في القرآن : يا أيها النبي إنا أرسلناك شاهدا ومبشرا ونذيرا ، وحرزا للأميين ، وأنت عبدي ورسولي ، سميتك المتوكل ، لا فظ ولا غليظ ولا سخاب في الأسواق ، ولا يدفع بالسيئة السيئة ولكن يعفو ويغفر ، ولن يقبضه حتى يقيم به الملة العوجاء ، بأن يقولوا : لا إله إلا الله . فيفتح به أعينا عميا ، وآذانا صما ، وقلوبا غلفا .</hadith>
<source/>انفرد بإخراجه البخاري ، فرواه في <source/>البيوع عن <isnad>محمد بن سنان ، عن فليح</isnad> ، به . 
      وقال : تابعه <isnad>عبد العزيز بن أبي سلمة ، عن هلال</isnad> . 
      وقال <source/>سعيد : عن <isnad>هلال ، عن عطاء ، عن عبد الله بن سلام</isnad> . 
      ورواه في <source/>التفسير عن <isnad>عبد الله ، عن عبد العزيز بن أبي سلمة ، عن هلال ، عن عطاء ، عن عبد الله بن عمرو بن العاص</isnad> ، به . فذكر نحوه ، فعبد الله هذا هو <source/>ابن صالح ، كما صرح به في كتاب الأدب . 
      <opinions_of_scholars>وزعم <source/>أبو مسعود الدمشقي أنه <source/>عبد الله بن رجاء .</opinions_of_scholars>
</tafsir_chunk>"
2441,"<tafsir_chunk>
<opinions_of_scholars>
        وقال <source/>ابن أبي حاتم : حدثنا <isnad>أبو سعيد الأشج ، حدثنا إسماعيل بن علية ، عن أبي رجاء</isnad> ، عن <source/>الحسن يعني البصري : ( <quran_verse>وإذ ابتلى إبراهيم ربه بكلمات [ فأتمهن ]</quran_verse> ) قال : ابتلاه بالكوكب فرضي عنه ، وابتلاه بالقمر فرضي عنه ، وابتلاه بالشمس فرضي عنه ، وابتلاه بالهجرة فرضي عنه ، وابتلاه بالختان فرضي عنه ، وابتلاه بابنه فرضي عنه . 
        وقال <source/>ابن جرير : حدثنا <isnad>بشر بن معاذ ، حدثنا يزيد بن زريع ، حدثنا سعيد ، عن قتادة</isnad> ، قال : كان <source/>الحسن يقول : أي والله ، ابتلاه بأمر فصبر عليه : ابتلاه بالكوكب والشمس والقمر ، فأحسن في ذلك ، وعرف أن ربه دائم لا يزول ، فوجه وجهه للذي فطر السماوات والأرض حنيفا وما كان من المشركين . ثم ابتلاه بالهجرة فخرج من بلاده وقومه حتى لحق بالشام مهاجرا إلى الله ، ثم ابتلاه بالنار قبل الهجرة فصبر على ذلك . وابتلاه الله بذبح ابنه والختان فصبر على ذلك . 
        وقال <source/>عبد الرزاق : أخبرنا <isnad>معمر ، عمن سمع الحسن</isnad> يقول في قوله : ( <quran_verse>وإذ ابتلى إبراهيم ربه بكلمات [ فأتمهن ]</quran_verse> ) قال : ابتلاه الله بذبح ولده ، وبالنار ، والكوكب والشمس ، والقمر . 
        وقال <source/>أبو جعفر بن جرير : حدثنا <isnad>ابن بشار ، حدثنا سلم بن قتيبة ، حدثنا أبو هلال</isnad> ، عن <source/>الحسن ( <quran_verse>وإذ ابتلى إبراهيم ربه بكلمات</quran_verse> ) قال : ابتلاه بالكوكب ، والشمس ، والقمر ، فوجده صابرا .
      </opinions_of_scholars>
</tafsir_chunk>"
2451,"<tafsir_chunk>
<opinions_of_scholars>
        وقال <source/>ابن أبي حاتم : أخبرنا <isnad>عمرو بن ثور القيساري فيما كتب إلي ، حدثنا الفريابي ، حدثنا إسرائيل ، حدثنا سماك بن حرب</isnad> ، عن <source/>عكرمة ، عن <source/>ابن عباس ، قال : قال الله لإبراهيم : ( <quran_verse>إني جاعلك للناس إماما قال ومن ذريتي</quran_verse> ) فأبى أن يفعل ، ثم قال : ( <quran_verse>لا ينال عهدي الظالمين</quran_verse> ) 
        وقال <source/>محمد بن إسحاق ، عن <isnad>محمد بن أبي محمد ، عن سعيد أو عكرمة</isnad> ، عن <source/>ابن عباس : ( <quran_verse>قال ومن ذريتي قال لا ينال عهدي الظالمين</quran_verse> ) يخبره أنه كائن في ذريته ظالم لا ينال عهده ولا ينبغي [ له ] أن يوليه شيئا من أمره وإن كان من ذرية خليله ومحسن ستنفذ فيه دعوته ، وتبلغ له فيه ما أراد من مسألته . 
        وقال <source/>العوفي ، عن <source/>ابن عباس : ( <quran_verse>لا ينال عهدي الظالمين</quran_verse> ) قال : يعني لا عهد لظالم عليك في ظلمه ، أن تطيعه فيه . 
        وقال <source/>ابن جرير : حدثنا <isnad>المثنى ، حدثنا إسحاق ، حدثنا عبد الرحمن بن عبد الله ، عن إسرائيل ، عن مسلم الأعور</isnad> ، عن <source/>مجاهد ، عن <source/>ابن عباس ، قال : ( <quran_verse>لا ينال عهدي الظالمين</quran_verse> ) قال : ليس للظالمين عهد ، وإن عاهدته فانتقضه .
      </opinions_of_scholars>
</tafsir_chunk>"
2455,"<tafsir_chunk>
<opinions_of_scholars>
        قال <source/>العوفي ، عن <isnad>ابن عباس</isnad> : قوله تعالى : ( <quran_verse>وإذ جعلنا البيت مثابة للناس</quran_verse> ) يقول : لا يقضون منه وطرا ، يأتونه ، ثم يرجعون إلى أهليهم ، ثم يعودون إليه . 
        وقال <source/>علي بن أبي طلحة ، عن <isnad>ابن عباس</isnad> : ( <quran_verse>مثابة للناس</quran_verse> ) يقول : يثوبون . رواهما <source/>ابن جرير . 
        وقال <source/>ابن أبي حاتم : أخبرنا <isnad>أبي ، أخبرنا عبد الله بن رجاء ، أخبرنا إسرائيل ، عن مسلم ، عن مجاهد</isnad> ، عن <source/>ابن عباس ، في قوله تعالى : ( <quran_verse>وإذ جعلنا البيت مثابة للناس</quran_verse> ) قال : يثوبون إليه ثم يرجعون . 
        قال : وروي عن <source/>أبي العالية ، وسعيد بن جبير في رواية و <source/>عطاء ، ومجاهد ، والحسن ، وعطية ، والربيع بن أنس ، والضحاك ، نحو ذلك .
      </opinions_of_scholars>
</tafsir_chunk>"
2462,"<tafsir_chunk>
<hadith_support>
        وقال <source/>ابن أبي حاتم : حدثنا <isnad>الحسن بن محمد بن الصباح ، حدثنا عبد الوهاب بن عطاء ، عن ابن جريج ، عن جعفر بن محمد ، عن أبيه</isnad> ، سمع <source/>جابرا يحدث عن حجة النبي صلى الله عليه وسلم قال : <hadith>لما طاف النبي صلى الله عليه وسلم قال له عمر : هذا مقام أبينا إبراهيم ؟ قال : نعم ، قال : أفلا نتخذه مصلى ؟ فأنزل الله ، عز وجل : ( <quran_verse>واتخذوا من مقام إبراهيم مصلى</quran_verse> ) .</hadith>
        وقال <source/>عثمان بن أبي شيبة : أخبرنا <isnad>أبو أسامة ، عن زكريا ، عن أبي إسحاق ، عن أبي ميسرة</isnad> قال : قال <source/>عمر : <hadith>قلت : يا رسول الله ، هذا مقام خليل ربنا ؟ قال : نعم ، قال : أفلا نتخذه مصلى ؟ فنزلت : ( <quran_verse>واتخذوا من مقام إبراهيم مصلى</quran_verse> ) .</hadith>
        وقال <source/>ابن مردويه : حدثنا <isnad>دعلج بن أحمد ، حدثنا غيلان بن عبد الصمد ، حدثنا مسروق بن المرزبان ، حدثنا زكريا بن أبي زائدة ، عن أبي إسحاق عن عمرو بن ميمون</isnad> عن <source/>عمر بن الخطاب أنه مر بمقام إبراهيم فقال : <hadith>يا رسول الله ، أليس نقوم مقام خليل ربنا ؟ قال : "" بلى "" . قال : أفلا نتخذه مصلى ؟ فلم يلبث إلا يسيرا حتى نزلت : ( <quran_verse>واتخذوا من مقام إبراهيم مصلى</quran_verse> )</hadith>
</hadith_support>
</tafsir_chunk>"
2466,"<tafsir_chunk>
<hadith_support>
        وقال <source/>الإمام أحمد : حدثنا <isnad>هشيم ، حدثنا حميد</isnad> ، عن <source/>أنس ، قال : قال <source/>عمر رضي الله عنه : <hadith>وافقت ربي عز وجل في ثلاث ، قلت : يا رسول الله ، لو اتخذنا من مقام إبراهيم مصلى ؟ فنزلت : ( <quran_verse>واتخذوا من مقام إبراهيم مصلى</quran_verse> ) وقلت : يا رسول الله ، إن نساءك يدخل عليهن البر والفاجر ، فلو أمرتهن أن يحتجبن ؟ فنزلت آية الحجاب . واجتمع على رسول الله صلى الله عليه وسلم نساؤه في الغيرة فقلت لهن : ( <quran_verse>عسى ربه إن طلقكن أن يبدله أزواجا خيرا منكن</quran_verse> ) [ التحريم : 5 ] فنزلت كذلك .</hadith> 
        ثم رواه <source/>أحمد ، عن <isnad>يحيى وابن أبي عدي ، كلاهما عن حميد ، عن أنس</isnad> ، عن <source/>عمر أنه قال : وافقت ربي في ثلاث ، أو وافقني ربي في ثلاث فذكره . 
        وقد رواه <source/>البخاري عن <source/>عمرو بن عون و <source/>الترمذي عن <source/>أحمد بن منيع ، و <source/>النسائي عن <source/>يعقوب بن إبراهيم الدورقي ، و <source/>ابن ماجه عن <source/>محمد بن الصباح ، كلهم عن <isnad>هشيم بن بشير</isnad> ، به . 
        ورواه <source/>الترمذي أيضا عن <isnad>عبد بن حميد ، عن حجاج بن منهال ، عن حماد بن سلمة</isnad> ، و <source/>النسائي عن <isnad>هناد ، عن يحيى بن أبي زائدة</isnad> ، كلاهما عن <source/>حميد ، وهو <source/>ابن تيرويه الطويل ، به . 
        <chain_evaluation>وقال <source/>الترمذي : حسن صحيح .</chain_evaluation>
        ورواه <source/>الإمام علي بن المديني عن <isnad>يزيد بن زريع ، عن حميد</isnad> به . وقال : هذا من صحيح الحديث ، وهو بصري ، ورواه <source/>الإمام مسلم بن الحجاج في صحيحه بسند آخر ، ولفظ آخر ، فقال : حدثنا <isnad>عقبة بن مكرم ، أخبرنا سعيد بن عامر ، عن جويرية بن أسماء ، عن نافع ، عن ابن عمر</isnad> ، عن <source/>عمر ، قال : وافقت ربي في ثلاث : في الحجاب ، وفي أسارى بدر ، وفي مقام إبراهيم .
      </hadith_support>
</tafsir_chunk>"
2468,"<tafsir_chunk>
<hadith_support>
        وقال <source/>ابن جريج أخبرني <isnad>جعفر بن محمد ، عن أبيه عن جابر</isnad> : أن رسول الله صلى الله عليه وسلم رمل ثلاثة أشواط ، ومشى أربعا ، حتى إذا فرغ عمد إلى مقام إبراهيم فصلى خلفه ركعتين ، ثم قرأ : ( <quran_verse>واتخذوا من مقام إبراهيم مصلى</quran_verse> ) 
        وقال <source/>ابن جرير : حدثنا <isnad>يوسف بن سلمان حدثنا حاتم بن إسماعيل ، حدثنا جعفر بن محمد عن أبيه ، عن جابر</isnad> قال : <hadith>استلم رسول الله صلى الله عليه وسلم الركن ، فرمل ثلاثا ، ومشى أربعا ، ثم تقدم إلى مقام إبراهيم ، فقرأ : ( <quran_verse>واتخذوا من مقام إبراهيم مصلى</quran_verse> ) فجعل المقام بينه وبين البيت ، فصلى ركعتين .</hadith>
        وهذا قطعة من الحديث الطويل الذي رواه <source/>مسلم في صحيحه ، من حديث <isnad>حاتم بن إسماعيل</isnad> . 
        وروى <source/>البخاري بسنده ، عن <source/>عمرو بن دينار ، قال : سمعت <source/>ابن عمر يقول : قدم رسول الله صلى الله عليه وسلم فطاف بالبيت سبعا ، وصلى خلف المقام ركعتين .
      </hadith_support>
</tafsir_chunk>"
4144,"<tafsir_chunk>
<asbab_al_nuzul>
        وقد ذكر <source/>ابن جرير ، رحمه الله ، أن هذه الآية نزلت في شأن ثابت بن قيس بن شماس وامرأته حبيبة بنت عبد الله بن أبي ابن سلول . ولنذكر طرق حديثها ، واختلاف ألفاظه :
      </asbab_al_nuzul>
<asbab_al_nuzul>
<source/>قال الإمام مالك في موطئه : <isnad>عن يحيى بن سعيد ، عن عمرة بنت عبد الرحمن بن سعد بن زرارة ، أنها أخبرته عن حبيبة بنت سهل الأنصارية</isnad> ، <hadith>أنها كانت تحت ثابت بن قيس بن شماس ، وأن رسول الله صلى الله عليه وسلم خرج إلى الصبح فوجد حبيبة بنت سهل عند بابه في الغلس ، فقال رسول الله صلى الله عليه وسلم : "" من هذه ؟ "" قالت : أنا حبيبة بنت سهل . فقال : "" ما شأنك ؟ "" فقالت : لا أنا ولا ثابت بن قيس لزوجها فلما جاء زوجها ثابت بن قيس قال له رسول الله صلى الله عليه وسلم : "" هذه حبيبة بنت سهل قد ذكرت ما شاء الله أن تذكر "" . فقالت حبيبة : يا رسول الله ، كل ما أعطاني عندي . فقال رسول الله صلى الله عليه وسلم : "" خذ منها "" . فأخذ منها وجلست في أهلها .</hadith>
</asbab_al_nuzul>
<asbab_al_nuzul>
<source/>وهكذا رواه الإمام أحمد ، <isnad>عن عبد الرحمن بن مهدي ، عن مالك بإسناده مثله</isnad> . <source/>ورواه أبو داود ، <isnad>عن القعنبي ، عن مالك</isnad> . <source/>والنسائي ، <isnad>عن محمد بن مسلمة ، عن ابن القاسم ، عن مالك به</isnad> .
      </asbab_al_nuzul>
<asbab_al_nuzul>
        حديث آخر : عن عائشة : <source/>قال أبو داود وابن جرير : <isnad>حدثنا محمد بن معمر ، حدثنا أبو عامر ، حدثنا أبو عمرو السدوسي ، عن عبد الله بن أبي بكر عن عمرة ، عن عائشة</isnad> ، <hadith>أن حبيبة بنت سهل كانت تحت ثابت بن قيس بن شماس ، فضربها فكسر نغضها فأتت رسول الله صلى الله عليه وسلم بعد الصبح فاشتكته إليه ، فدعا رسول الله صلى الله عليه وسلم ثابتا فقال : "" خذ بعض مالها وفارقها "" . قال : ويصلح ذلك يا رسول الله ؟ قال : "" نعم "" . قال : فإني أصدقتها حديقتين ، فهما بيدها . فقال النبي صلى الله عليه وسلم : "" خذهما وفارقها "" . ففعل .</hadith> وهذا لفظ <source/>ابن جرير . وأبو عمرو السدوسي هو سعيد بن سلمة بن أبي الحسام .
      </asbab_al_nuzul>
<asbab_al_nuzul>
        حديث آخر فيه : عن ابن عباس رضي الله عنه : <source/>قال البخاري : <isnad>حدثنا أزهر بن جميل ، أخبرنا عبد الوهاب الثقفي ، حدثنا خالد ، عن عكرمة ، عن ابن عباس</isnad> : <hadith>أن امرأة ثابت بن قيس بن شماس أتت النبي صلى الله عليه وسلم ، فقالت : يا رسول الله ، ما أعتب عليه في خلق ولا دين ، ولكن أكره الكفر في الإسلام . فقال رسول الله صلى الله عليه وسلم : "" أتردين عليه حديقته ؟ "" قالت : نعم . قال رسول الله صلى الله عليه وسلم : "" اقبل الحديقة وطلقها تطليقة "" .</hadith> <source/>وكذا رواه النسائي ، <isnad>عن أزهر بن جميل بإسناده</isnad> ، مثله . <source/>ورواه البخاري أيضا ، <isnad>عن إسحاق الواسطي ، عن خالد هو ابن عبد الله الطحان ، عن خالد ، هو ابن مهران الحذاء ، عن عكرمة به</isnad> ، نحوه . <source/>وهكذا رواه البخاري أيضا من طرق ، <isnad>عن أيوب ، عن عكرمة ، عن ابن عباس</isnad> ، به . وفي بعضها أنها قالت : لا أطيقه ، تعني : بغضا . <chain_evaluation>وهذا الحديث من أفراد البخاري من هذا الوجه</chain_evaluation> .
      </asbab_al_nuzul>
<asbab_al_nuzul>
        ثم قال : <isnad>حدثنا سليمان بن حرب ، حدثنا حماد بن زيد ، عن أيوب ، عن عكرمة ، أن جميلة رضي الله عنها</isnad> . كذا قال ، والمشهور أن اسمها حبيبة [ كما تقدم ] . <source/>قال الحافظ أبو بكر بن مردويه في تفسيره : <isnad>حدثنا موسى بن هارون ، حدثنا أزهر بن مروان الرقاشي ، حدثنا عبد الأعلى ، حدثنا سعيد ، عن قتادة ، عن عكرمة ، عن ابن عباس</isnad> ، <hadith>أن جميلة بنت سلول أتت النبي صلى الله عليه وسلم فقالت : والله ما أعتب على ثابت بن قيس بن شماس في دين ولا خلق ، ولكنني أكره الكفر بعد الإسلام ، لا أطيقه بغضا . فقال النبي صلى الله عليه وسلم : "" تردين عليه حديقته ؟ "" قالت : نعم ، فأمره رسول الله صلى الله عليه وسلم أن يأخذ منها حديقته ولا يزداد .</hadith> <source/>وهكذا رواه ابن ماجه <isnad>عن أزهر بن مروان ، بإسناده</isnad> مثله سواء ، <chain_evaluation>وهو إسناد جيد مستقيم</chain_evaluation> .
      </asbab_al_nuzul>
<asbab_al_nuzul>
<source/>ورواه أيضا أبو القاسم البغوي ، <isnad>عن عبيد الله القواريري ، عن عبد الأعلى</isnad> ، مثله ، لكن <source/>قال ابن جرير : <isnad>حدثنا ابن حميد ، حدثنا يحيى بن واضح ، حدثنا الحسين بن واقد ، عن ثابت ، عن عبد الله بن رباح عن جميلة بنت أبي ابن سلول</isnad> : <hadith>أنها كانت تحت ثابت بن قيس ، فنشزت عليه ، فأرسل إليها النبي صلى الله عليه وسلم فقال : "" يا جميلة ، ما كرهت من ثابت ؟ "" قالت : والله ما كرهت منه دينا ولا خلقا ، إلا أني كرهت دمامته ! فقال لها : "" أتردين الحديقة ؟ "" قالت : نعم . فردت الحديقة ، وفرق بينهما .</hadith>
</asbab_al_nuzul>
<asbab_al_nuzul>
<source/>قال ابن جرير أيضا : <isnad>حدثنا محمد بن عبد الأعلى ، حدثنا المعتمر بن سليمان قال : قرأت على فضيل ، عن أبي جرير أنه سأل عكرمة : هل كان للخلع أصل ؟ قال : كان ابن عباس يقول</isnad> : <hadith>إن أول خلع كان في الإسلام في أخت عبد الله بن أبي ، أنها أتت رسول الله صلى الله عليه وسلم ، فقالت : يا رسول الله ، لا يجمع رأسي ورأسه شيء أبدا ، إني رفعت جانب الخباء ، فرأيته أقبل في عدة ، فإذا هو أشدهم سوادا ، وأقصرهم قامة وأقبحهم وجها . قال زوجها : يا رسول الله ، إني قد أعطيتها أفضل مالي ، حديقة لي ، فإن ردت علي حديقتي ؟ قال : "" ما تقولين ؟ "" قالت : نعم ، وإن شاء زدته . قال : ففرق بينهما .</hadith>
</asbab_al_nuzul>
<asbab_al_nuzul>
        حديث آخر : <source/>قال ابن ماجه : <isnad>حدثنا أبو كريب ، حدثنا أبو خالد الأحمر ، عن حجاج ، عن عمرو بن شعيب ، عن أبيه ، عن جده قال</isnad> : <hadith>كانت حبيبة بنت سهل تحت ثابت بن قيس بن شماس ، وكان رجلا دميما ، فقالت : يا رسول الله ، والله لولا مخافة الله إذا دخل علي بصقت في وجهه ! فقال رسول الله صلى الله عليه وسلم : "" أتردين عليه حديقته ؟ "" قالت : نعم . فردت عليه حديقته . قال ففرق بينهما رسول الله صلى الله عليه وسلم .</hadith>
</asbab_al_nuzul>
</tafsir_chunk>"
